Name,Year,Latitude,Longitude,Country
 Université de Strasbourg,1621,48.5790692,7.7664545,FR
 Universität Salzburg,1622,47.7972387,13.0480985,AT
 Pontificia Universidad Javeriana,1623,4.6284875,-74.0646645,CO
 Universidad San Francisco Xavier,1624,-19.0433704,-65.2467496,BO
 Pontificia Università Urbaniana,1627,41.8995719,12.458354,IT
 Santa Isabel College,1632,14.5856147,120.9838852,PH
 Tartu Ülikool,1632,58.3810843,26.7198659,EE
 Universiteit van Amsterdam,1632,52.3558182,4.9557263,NL
 Eötvös Loránd Tudományegyetem,1635,47.4905698,19.0585445,HU
 Pázmány Péter Katolikus Egyetem,1635,47.4916,19.0657999,HU
 Harvard University,1636,42.3770029,-71.1166601,US
 Universiteit Utrecht,1636,52.0901527,5.1226018,NL
 Ryukoku University,1639,34.9637736,135.7663858,JP
 Helsingin yliopisto,1640,60.1726348,24.9510419,FI
 Universidad del Rosario,1653,4.6005021,-74.0733518,CO
 Ivan Franko National University of Lviv,1661,49.8406108,24.0225099,UA
 Akademie der Bildenden Künste Nürnberg,1662,49.4464154,11.1364002,DE
 Lunds Universitet,1666,55.7119483,13.203493,SE
 Sveucilište u Zagrebu,1669,45.8106069,15.9699154,HR
 Universität Innsbruck,1669,47.2633542,11.3838006,AT
 Universidad de San Carlos de Guatemala,1676,14.587349,-90.553414,GT
 Universidad Nacional de San Cristóbal de Huamanga,1677,-13.1612654,-74.2257339,PE
 Koninklijke Academie van Beeldende Kunsten Den Haag,1682,52.08164,4.319411,NL
 Universidad Nacional de San Antonio Abad del Cusco,1692,-13.52193,-71.9583208,PE
 College of William & Mary,1693,37.2726983,-76.7136619,US
 Akademie der Bildenden Künste Wien,1696,48.2012533,16.3651029,AT
 St John's College,1696,38.981963,-76.491536,US
 Yale University,1701,41.3163244,-72.9223431,US
 Uniwersytet Wroclawski,1702,51.1140053,17.034463,PL
 Qiongtai Normal University,1705,19.9071628,109.6932524,CN
 Ceské vysoké ucení technické v Praze,1707,50.1030364,14.3912841,CZ
 Universidad de San Buenaventura,1708,4.7396917,-74.0392261,CO
 Charité - Universitätsmedizin Berlin,1710,52.5264618,13.3766245,DE
 Universidad Central de Venezuela,1721,10.4883502,-66.8891696,VE
 Université de Bourgogne,1722,47.312907,5.066068,FR
 St. Petersburg State University,1724,59.941894,30.2989199,RU
 Università degli Studi di Camerino,1727,43.1464221,13.0670755,IT
 Universidad de La Habana,1728,23.1368405,-82.3815061,CU
" Università degli Studi di Napoli ""L'Orientale""",1732,40.8312592,14.244409,IT
" St George's, University of London",1733,51.427401,-0.1749356,GB
 Georg-August-Universität Göttingen,1734,51.5408116,9.9374005,DE
 Kungliga Konsthögskolan,1735,59.3242987,18.0832628,SE
 University of Pennsylvania,1740,39.9522188,-75.1932137,US
 Moravian College,1742,40.6310336,-75.3813518,US
 Friedrich-Alexander-Universität Erlangen-Nürnberg,1743,49.5978804,11.0045507,DE
 University of Delaware,1743,39.6779504,-75.7506114,US
 Technische Universität Braunschweig,1745,52.2739873,10.5289182,DE
 National College of Art and Design,1746,53.34292,-6.2786751,IE
 Princeton University,1746,40.3430942,-74.6550739,US
 École des Ponts ParisTech,1747,48.8407057,2.5870914,FR
 Washington and Lee University,1749,37.7910959,-79.4444128,US
 Columbia University in the City of New York,1754,40.8075355,-73.9625727,US
" Det Kongelige Danske Kunstakademi, Billedkunstskolerne",1754,55.6815553,12.6036984,DK
 Moscow State University,1755,55.7039349,37.5286696,RU
 Moscow Medical Academy,1758,55.731551,37.571717,RU
 Staatliche Akademie der Bildenden Künste Stuttgart,1761,48.7998252,9.17463,DE
 VetAgro Sup,1761,45.790736,4.708956,FR
 Staatliche Hochschule für Musik und Darstellende Kunst Mannheim,1762,49.4838756,8.470797,DE
 Hochschule für Bildende Künste Dresden,1764,51.053015,13.74248,DE
 Hochschule für Grafik und Buchkunst Leipzig,1764,51.3333083,12.3679259,DE
 Technische Universität Bergakademie Freiberg,1765,50.9181602,13.3408434,DE
 Veterinärmedizinische Universität Wien,1765,48.2544434,16.4316796,AT
 École Nationale Vétérinaire d'Alfort,1766,48.8135795,2.4221029,FR
" Rutgers, The State University of New Jersey",1766,40.5008186,-74.4473991,US
 Pädagogische Hochschule Karlsruhe,1768,49.01324,8.39326,DE
 Dartmouth College,1769,43.7044406,-72.2886935,US
 Semmelweis Egyetem,1769,47.4872816,19.0674834,HU
 College of Charleston,1770,32.783444,-79.9370022,US
 Technická univerzita vo Zvolene,1770,48.5723721,19.117315,SK
 Kungliga Musikhögskolan i Stockholm,1771,59.3448555,18.0822084,SE
 Salem College,1772,36.0874295,-80.2410777,US
 Stockholms konstnärliga högskola,1772,59.334717,18.0951018,SE
 Dickinson College,1773,40.2028536,-77.1972141,US
 Kunstakademie Düsseldorf,1773,51.2304108,6.7749093,DE
 Pontificia Università Lateranense,1773,41.885251,12.5037235,IT
 Saint-Petersburg Mining University,1773,59.9291997,30.2694843,RU
 Eszterházy Károly Egyetem,1774,47.9000682,20.3754792,HU
 Hampden-Sydney College,1775,37.2403758,-78.4610298,US
 Technische Universität Clausthal,1775,51.80454,10.33415,DE
 Tierärztliche Hochschule Hannover,1778,52.3549693,9.8015244,DE
 Moscow State University of Geodesy and Cartography,1779,55.763449,37.6617969,RU
 Russian State Institute of Performing Arts,1779,59.940618,30.3455309,RU
 State University of Land Management,1779,45.5143994,-122.6769638,US
 Aliah University,1780,22.5896952,88.48668,IN
 Arts et Métiers ParisTech,1780,48.8330427,2.3582236,FR
 Transylvania University,1780,38.0516801,-84.4933419,US
 Westfälische Wilhelms-Universitat Münster,1780,51.963581,7.6132548,DE
 Washington & Jefferson College,1781,40.1706389,-80.2402969,US
 Carlow College,1782,40.4389076,-79.9633547,US
 Washington College,1782,39.2180241,-76.0692262,US
 MINES ParisTech,1783,48.8456491,2.3396247,FR
 Becker College,1784,42.2670243,-71.811918,US
 Lviv National Medical University,1784,49.835989,24.0484588,UA
 Lviv National University of Veterinary Medicine and Biotechnologies,1784,49.836909,24.0426939,UA
 Royal College of Surgeons in Ireland,1784,53.3389622,-6.262036,IE
 University of Georgia,1785,33.9480053,-83.3773221,US
 University of New Brunswick,1785,45.9453492,-66.6423814,CA
 Castleton University,1787,43.6080159,-73.1786951,US
 Franklin and Marshall College,1787,40.0487391,-76.3199227,US
 University of Pittsburgh,1787,40.4443533,-79.960835,US
 York College of Pennsylvania,1787,39.9467464,-76.7281509,US
 Georgetown College,1789,38.2070039,-84.5542847,US
 Georgetown University,1789,38.9076089,-77.0722585,US
 University of King's College,1789,44.6373263,-63.5952731,CA
 University of North Carolina at Chapel Hill,1789,35.9049122,-79.0469134,US
 Royal Veterinary College University of London,1791,51.5366976,-0.1339696,GB
 University of Vermont,1791,44.4778528,-73.1964637,US
 Universidad de Guadalajara,1792,20.6752192,-103.3589792,MX
 Vilniaus Dailes Akademija,1793,54.6834639,25.2939438,LT
 Williams College,1793,42.7128843,-73.2031395,US
 École Normale Supérieure,1794,48.8422058,2.3451689,FR
 École Polytechnique,1794,45.504384,-73.6128829,CA
" The University of Tennessee, Knoxville",1794,35.9544013,-83.9294564,US
 Tusculum College,1794,36.1724335,-82.7608814,US
" Saint Patrick's College, Maynooth",1795,53.3794994,-6.5977352,IE
 Union College,1795,42.8177125,-73.9295987,US
 University of South Carolina-Beaufort,1795,32.3032706,-80.9735548,US
 Hartwick College,1797,42.4586674,-75.0718461,US
 Herzen State Pedagogical University of Russia,1797,59.933634,30.3201649,RU
 Hochschule für Musik Würzburg,1798,49.79439,9.94059,DE
 University of Louisville,1798,38.2122761,-85.7585023,US
 Akademie vytvarnych umeni v Praze,1799,50.1026994,14.4245785,CZ
 Middlebury College,1800,44.0077583,-73.1739691,US
 University of South Carolina,1801,33.9937575,-81.0299186,US
 Vincennes University,1801,38.6838421,-87.5211869,US
 Saint Mary's University,1802,29.4523378,-98.5640981,US
 United States Military Academy,1802,41.3918372,-73.9625033,US
 Universidad de Antioquía,1803,6.2677479,-75.5688416,CO
 Kazan Federal University,1804,55.790447,49.1214349,RU
 Kharkiv National Pedagogical University,1804,50.0191782,36.3178798,UA
 Moscow State Linguistic University,1804,55.7387554,37.5949486,RU
 Ohio University,1804,39.324358,-82.1013889,US
